Effect,df,MSE,F,ges,p.value
condition.f,1, 48,0.43,0.45,.003,.505
game.f,1.85, 88.71,0.12,11.81 ***,.039,<.001
condition.f:game.f,1.85, 88.71,0.12,1.34,.005,.266
interaction_lvl,1, 48,0.06,1.34,.001,.253
condition.f:interaction_lvl,1, 48,0.06,0.03,<.001,.864
opp_type,1, 48,0.12,0.00,<.001,.973
condition.f:opp_type,1, 48,0.12,0.13,<.001,.717
game.f:interaction_lvl,1.99, 95.72,0.08,0.46,.001,.635
condition.f:game.f:interaction_lvl,1.99, 95.72,0.08,2.43 +,.006,.094
game.f:opp_type,1.70, 81.82,0.11,5.31 **,.015,.010
condition.f:game.f:opp_type,1.70, 81.82,0.11,1.23,.003,.294
interaction_lvl:opp_type,1, 48,0.04,2.16,.001,.148
condition.f:interaction_lvl:opp_type,1, 48,0.04,0.02,<.001,.883
game.f:interaction_lvl:opp_type,1.89, 90.83,0.09,0.96,.002,.383
condition.f:game.f:interaction_lvl:opp_type,1.89, 90.83,0.09,0.94,.002,.390
