"human_id","condition","Early_game_score","Total_score","Best_model_2","Total_time","BT_minus_NBT_BIC","Rand_minus_best_BIC"
"bZg1T3MNoItL6b7qAAAj","Level2",12,115,"QLS_within",308162,14.1836863049361,107.024873573883
"J3SqvTcFUwXtSC6wAAB0","Level2",10,115,"QLS_within",369895,11.0467288687425,129.072434218481
"gRRZ0rUagyVejWTOAAFl","Level2",10,32,"QLS_within",250303,-0.0445817920362401,14.0211909523453
"vGnDPRowetREQVmwAADL","Level2",-3,9,"random",207470,0,0
"UQ2ClBvGXwIgRRxJAACU","Level1",14,126,"QLS_within",268574,37.5738732406097,194.214879519507
"wi_zWhftr9MdqTmCAAHs","Level1",5,73,"QLS_within",218713,4.11631771584479,32.2955403186565
"v4JPdc2dyGGb0M9KAAAS","Level1",4,51,"QLS_within",233476,-0.448758187863859,1.96454761566116
"LQcrLHbnJAiZQ7BLAAFx","Level1",1,5,"random",441896,0.00804504249708771,0
"1XLMrTr83c4qS8dZAADJ","Level2",1,38,"QLS_within",407639,-0.529252002744556,10.5321833888825
"NWCvzUgUu8IuyjfLAAB_","Level1",-1,38,"QL_states",211810,-2.09440559784377,26.3754214574461
"1I3kEYgqQNafdKmYAAE2","Level2",3,67,"QLS_within",349173,-1.52738236024584,77.5255648959969
"JugPgNzi2NGqsHZzAABY","Level2",6,27,"random",287600,0,0
"D-VZPAQt4z9eGk05AAEV","Level1",11,107,"QLS_within",192787,20.8101176594683,161.530444682824
"J8_eW3CRDl64752AAAIw","Level2",1,59,"QL_states",323952,1.47541952279926,21.9076707701992
"bpaMxr2edUaSR-dFAAGz","Level1",0,49,"QLS_within",232009,-0.819941423971386,3.04210402026212
"HWVAqPzkj2ugA9vPAAGJ","Level2",7,70,"QLS_within",212848,-3.37378905875721,67.8337319033059
"Ipzb3ezDIYT0eRneAAAS","Level2",8,66,"MBM",226755,-3.51249042574301,46.0693813496708
"PJpglw0AOw675yAdAAHP","Level1",3,41,"random",235108,0.129640047709415,0
"7DzgDjXk_uRYBYj6AADN","Level1",14,148,"QLS_within",185219,69.4057650480313,240.661628187508
"3h3jZyjIjjTRIL5fAABG","Level1",6,101,"QLS_within",507882,-0.532964953757187,94.1674763803676
"sIk6KD9rUGe2kTq7AABg","Level1",3,11,"S_EWA",225520,0.339559125445362,22.8887841623928
"sJWcEQ_yv-10lmf-AAFN","Level1",7,85,"QLS_within",409572,-2.27145497756959,86.9948407450176
"e7z8X9BaODupDdzrAAHN","Level2",7,52,"QLS_within",185465,-1.08521005254624,15.3320889980288
"BjBPvEASTEAwT4IBAAFP","Level2",2,42,"QLS_within",534415,2.86308091388423,11.4999613638129
"amDuYL1Ye5omcBj6AAAR","Level1",12,121,"ToM_NBT",903532,8.35712515683701,117.047362645502
"qVfFo-E8nx1aMQrkAAAh","Level1",0,52,"MBM",273188,-1.20919343511389,20.1852548077053
"eZLToe7akcCQujPtAANT","Level1",2,21,"random",223250,0,0
"5n2YIMBTH3GYyBUvAACt","Level1",0,59,"QL_states",751893,0.723214969071705,11.753291964474
"Bfty2Volxvh7TZuAAAAn","Level1",16,122,"QLS_within",631334,5.6600966552632,102.518925974816
"LrE6ZszEnyovbhwZAAD1","Level1",10,74,"QLS_within",372354,-4.41415841087223,95.4403790409282
"fVYQiLoEetexaO0SAABW","Level1",4,78,"QLS_within",230650,1.00238224426414,27.8641168963487
"ma9i8ks9WP1eBPYhAAAV","Level1",4,41,"QL_states",346688,-0.9760931692295,17.3754077602267
"kJ2thT5Z-1Qh2eWpAAHp","Level2",-1,38,"S_EWA",465455,-0.346931135641057,0.873670882525687
"94-lizWrkNfoLXQuAAGx","Level2",13,105,"QLS_within",299323,2.06280451240167,90.124531778901
"YUCCkBUG83_JkDNGAAAI","Level2",3,61,"QLS_within",351975,-0.503851738682954,26.1751044890499
"prcG2V77ivcCj8ziAAAK","Level1",10,116,"QLS_within",731447,23.2522383780702,108.688537096356
"3_JxdNwHO9s_tnGvAAGL","Level2",5,51,"QLS_within",389870,2.45077592247083,85.5835760846988
"PPuClUN70TLCCciPAADz","Level2",-2,32,"random",182819,0,0
"oxFTHoqnqWrmCV-SAABm","Level1",10,98,"QLS_within",555445,-4.95982554641296,94.1195173488006
"tf0MGgvxmqZRO_clAAEv","Level1",8,57,"QLS_within",306530,0.711407211006076,0.61205995863628
"qxE6d7fDhRDSZ8LNAACg","Level2",4,54,"QL_states",159062,0,31.9057792479732
"z4PrcHRUF5bxfgrKAACQ","Level2",-3,43,"random",210696,0.0878177422889053,0
"hrysprKOi0yO4R2pAACB","Level2",2,62,"QL_states",408682,-1.21535116358933,37.9486969125114
"2o6EfY2kcZpacXG5AACi","Level1",3,50,"QLS_within",253365,-0.89028571205165,7.73646022435491
"EaYc4vC7DCwwt15aAAIF","Level1",-5,37,"random",212802,-0.766173351957718,0
"r2nFfSPcBAarIW5SAAFp","Level1",3,44,"QLS_within",234446,0,2.00526784736854
"wkSekQIWpxx9cI6DAAAK","Level2",11,99,"QLS_within",328735,35.8687805672691,142.161502713764
"bNrt9YPV9mSMUhWfAAB6","Level1",7,60,"QL_states",372406,0.189084475192942,5.24180820391126
"jsY8H-8cm_SFVtJ1AACC","Level2",14,132,"QLS_within",497957,-0.513208247175498,149.34804720528
"YI5xBRHQEsR4UCk6AACr","Level2",11,77,"QLS_within",675521,2.83240321813776,98.1581124494248
