"ID","condition","Random_BIC","Btwn_TR_BIC","Distinct_game_BIC","No_Btwn_Tr_BIC","Distinct_stage_BIC","No_Tr_BIC","Bayes_distinct_no","Naive_BIC","Bayes_same_game"
"bZg1T3MNoItL6b7qAAAj","Level2",395.500423920519,226.097267939026,330.389353376431,242.524690217322,316.205667071495,229.25526947303,311.138806571158,225.221889590635,381.044026071019
"J3SqvTcFUwXtSC6wAAB0","Level2",395.500423920519,227.909459086499,307.101179087447,212.869165779839,296.054450218705,216.419107319496,290.40756603183,234.793194718479,379.711160485051
"gRRZ0rUagyVejWTOAAFl","Level2",395.500423920519,371.615304378488,397.652119050843,377.741285424175,397.696700842879,376.601697884523,400.035835118261,370.406228030014,401.9360461265
"vGnDPRowetREQVmwAADL","Level2",395.500423920519,403.869456814712,405.8863376223,399.509775650804,405.8863376223,397.51718622505,404.753714162489,404.362622301619,405.8863376223
"UQ2ClBvGXwIgRRxJAACU","Level1",395.500423920519,194.86826864414,287.902795428962,177.821137551584,250.328922188352,190.315544171975,264.576516048838,202.176555519335,373.85810898681
"wi_zWhftr9MdqTmCAAHs","Level1",395.500423920519,313.578096546836,372.012661481566,315.917380149967,367.896343765721,318.395540636407,363.514983427437,315.623659724345,386.038638362261
"v4JPdc2dyGGb0M9KAAAS","Level1",395.500423920519,350.899724557891,400.306031005279,348.095327199235,400.754789193143,351.515184913698,400.504836208838,339.507280222733,400.190355568773
"LQcrLHbnJAiZQ7BLAAFx","Level1",395.500423920519,393.265196253382,405.883496299851,388.839039755728,405.875451257354,385.089458477408,405.869793479091,392.418041357543,405.212032990999
"1XLMrTr83c4qS8dZAADJ","Level2",395.500423920519,386.57282056521,405.357085619555,386.331671359696,405.8863376223,389.661195426303,405.8863376223,386.581370932371,404.474826394865
"NWCvzUgUu8IuyjfLAAB_","Level1",395.500423920519,377.925810641532,403.643217663881,379.542698917965,405.737623261725,379.225279329545,405.568874961624,367.970967398563,404.797682725705
"1I3kEYgqQNafdKmYAAE2","Level2",395.500423920519,326.861615221791,389.397256670204,342.382754704549,390.92463903045,341.506522976253,389.703874934007,325.426969546674,398.578643057854
"JugPgNzi2NGqsHZzAABY","Level2",395.500423920519,396.865465939168,405.8863376223,401.012758710966,405.8863376223,403.434596500978,405.8863376223,397.881309667648,405.8863376223
"D-VZPAQt4z9eGk05AAEV","Level1",395.500423920519,228.855563660422,342.590457183262,274.550744027153,321.780339523794,250.753649936485,318.070561161148,237.419485325069,383.795337566348
"J8_eW3CRDl64752AAAIw","Level2",395.500423920519,342.57170812871,387.955268713166,333.982593049277,386.479849190367,327.999902807249,380.420180531458,356.492290123652,394.043938263798
"bpaMxr2edUaSR-dFAAGz","Level1",395.500423920519,383.370211870819,403.994211145778,383.858869055983,404.814152569749,382.773408811934,404.8757736722,381.931987828326,404.788865660439
