"game_id","time","human_id","ai_id","prolific_id","condition","difficulty","confidence","comments","game","round","human_action","human_rt","ai_action","ai_rt","winner","ai_action_prev","human_action_prev","pred_a1_level0","pred_a2_level0","pred_a3_level0","pred_a4_level0","pred_a5_level0","pred_a1_level1","pred_a2_level1","pred_a3_level1","pred_a4_level1","pred_a5_level1","pred_a1_level2","pred_a2_level2","pred_a3_level2","pred_a4_level2","pred_a5_level2","ai_action_num","human_action_num","score","block","h_action","a_action","QLS_lik","Bayes_NT_lik","Bayes_Tr_lik"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",1,"rock",3234,"scissors",2962.91298516649,"human",NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,3,1,1,1,"R","S",0.333333333333333,0.333333332932152,0.33289427399639
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",2,"scissors",4464,"paper",2934.05069208577,"human","scissors","rock",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,3,1,1,"S","P",0.333333333333333,0.33333345234831,0.379601331856602
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",3,"scissors",2397,"rock",2334.81966448491,"ai","paper","scissors",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,-1,1,"S","R",0.333333333333333,0.333333332932134,0.328744188026702
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",4,"rock",3023,"scissors",1782.90164643244,"human","rock","scissors",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,1,"R","S",0.333333333333333,0.333333332932142,0.332848672616189
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",5,"rock",2674,"paper",1192.43604930398,"ai","scissors","rock",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,-1,1,"R","P",0.292674798454415,0.333333332932128,0.325734944531033
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",6,"rock",2422,"rock",2534.44578966472,"tie","paper","rock",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,"R","R",0.333333333333333,0.333333213516009,0.288471188181287
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",7,"paper",2264,"scissors",2417.05852048553,"ai","rock","rock",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,-1,1,"P","S",0.333333333333333,0.333333332932135,0.325234700397506
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",8,"scissors",1815,"paper",2902.29692939738,"human","scissors","paper",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,3,1,1,"S","P",0.333333333333333,0.333333332932157,0.340494710522645
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",9,"scissors",1189,"rock",2451.4834729814,"ai","paper","scissors",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,-1,1,"S","R",0.308045705555139,0.333333332932116,0.320809225991165
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",10,"rock",2646,"scissors",987.313635590036,"human","rock","scissors",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,1,"R","S",0.414650403091171,0.333333332932163,0.34381611343301
